note_id,unit_id,campaign_id
63a6a53f000000001f00d5e2,589601976,186060805
63a6a3e9000000001c0076f9,589601976,186060805
63a6a614000000001b0271df,589601976,186060805
63a6a7af000000001e03f0a2,589601976,186060805
63a6a8b90000000022039f3f,589601976,186060805
63aa6adf000000001f020eb5,589601976,186060805
63aab8ca000000001f00d6e0,589601976,186060805
63aa6814000000001f00b384,589601976,186060805
63aabacb000000002202b632,589601976,186060805
63aabe9e000000001f012388,589601976,186060805
63abeae70000000018010655,589601976,186060805
63abe8b3000000002202b95b,589601976,186060805
63ac07b0000000001b015209,589601976,186060805
63acff92000000001b014eaa,589601976,186060805
63ad6065000000002203ac03,589601976,186060805
63ad6167000000001f001eef,589601976,186060805
63ad6220000000001f002202,589601976,186060805
63ad6640000000001f00edf4,589601976,186060805
63ae5477000000001f0243c2,589601976,186060805
63b0f622000000001902147b,589601976,186060805
63b02492000000001f0129cc,589601976,186060805
63b003a30000000018011e57,589601976,186060805
63b17bf9000000001c037e8d,589601976,186060805
63b1500c000000001c006e54,589601976,186060805
63b2a3b50000000019023267,589601976,186060805
63b4f9d1000000001c0362e5,589601976,186060805
63b412ab0000000019021b18,589601976,186060805
63b78ee8000000001f024f0e,589601976,186060805
63b7e4590000000022038166,589601976,186060805
63b80610000000002203a7b1,589601976,186060805
63b934f5000000001b014634,589601976,186060805
63b95ba9000000001b02720b,589601976,186060805
63ba316b000000002203a5ea,589601976,186060805
63baaf49000000001f009235,589601976,186060805
63bac1840000000018013e62,589601976,186060805
63bb8bd7000000001f0119fe,589601976,186060805
63bcd593000000001e03d82a,589601976,186060805
63bd2b0b000000001f011d2f,589601976,186060805
63bd45a400000000180110ad,589601976,186060805
63be269b000000001f00038a,589601976,186060805
63be7b190000000022039474,589601976,186060805
63be924c000000002202a578,589601976,186060805
63bf785b000000001f0099fd,589601976,186060805
63bfccdd0000000018010220,589601976,186060805
63c374ad000000001f0222e0,589601976,186060805
63c610d6000000001f00d02c,589601976,186060805
63c663db000000001c0071fa,589601976,186060805
63c685900000000019020aa8,589601976,186060805
63c762d50000000022039125,589601976,186060805
63c8d157000000001f02357d,589601976,186060805
63c7d1d7000000001b017564,589601976,186060805
63c7b8bd000000001f00ba81,589601976,186060805
63ca12f4000000002203bfb6,589601976,186060805
63cb73fd000000001f010cd4,589601976,186060805
63caa0a000000000220381c1,589601976,186060805
63cbc637000000002203a3e9,589601976,186060805
63cd00110000000002003301,589601976,186060805
63cc9ad6000000001e03eab6,589601976,186060805
63cfbd2d0000000022029522,589601976,186060805
63d1e16b000000001c00586f,589601976,186060805
63d150f60000000004005303,589601976,186060805
63d20600000000001b0278c7,589601976,186060805
63d33e490000000004005254,589601976,186060805
63d2865200000000220297cf,589601976,186060805
63d3e66f000000001c0062d2,589601976,186060805
63d47884000000001f00ca5b,589601976,186060805
63d496d90000000002003dee,589601976,186060805
63d4e5c50000000008026233,589601976,186060805
63d4fc1d000000000d014d86,589601976,186060805
63d5dec5000000001b0062e6,589601976,186060805
63d633cb000000000d014f08,589601976,186060805
63d6543f000000001d02297b,589601976,186060805
63d788ef0000000008025239,589601976,186060805
63d7a6b0000000001d0101d6,589601976,186060805
63d884cd000000001b00478e,589601976,186060805
63da2ac4000000000d0150cb,589601976,186060805
63da468b0000000008023fc1,589601976,186060805
63db29840000000004005070,589601976,186060805
63dcd13d0000000008023f58,589601976,186060805
63dc7bd4000000001d01c2a0,589601976,186060805
63db7d5b00000000180129e5,589601976,186060805
63ddcdfa0000000004004a50,589601976,186060805
63e07409000000001a025ed7,589601976,186060805
63e0cd980000000004007785,589601976,186060805
63e1c119000000001d020e83,589601976,186060805
63e21bc7000000001b005bf1,589601976,186060805
63e230c1000000001a01fdf5,589601976,186060805
63e313970000000018012062,589601976,186060805
63e366c7000000000d01494e,589601976,186060805
63e462df000000001b0042cf,589601976,186060805
63e60c8100000000130072db,589601976,186060805
63e9fdd8000000001303d408,589601976,186060805
63e706f7000000001203c808,589601976,186060805
63eb503b000000000702ebc9,589601976,186060805
63eb67c2000000001303d7c2,589601976,186060805
63ec4bd200000000130366ac,589601976,186060805
63ed9e4400000000130067b3,589601976,186060805
63eeef9a000000001300f05c,589601976,186060805
63ef4d8f000000001300d25b,589601976,186060805
63f6e0750000000027010dce,589601976,186060805
63f0a37d00000000130087a5,589569262,186060956
63f82edc000000001300813d,589569262,186060956
63f9d335000000000800ca3d,589569262,186060956
63f8878a0000000012030c53,589569262,186060956
640aee48000000001303ed80,589569262,186060956
640dc1050000000014025280,589569262,186060956
640de7920000000013009df9,589569262,186060956
640eeaa000000000130335f7,589569262,186060956
640e9b7d000000001300e321,589569262,186060956
640e70960000000027000457,589569262,186060956
640f1c4f000000001303e9cc,589569262,186060956
640fe2940000000011012ded,589569262,186060956
64103807000000001300e751,589569262,186060956
6410544d0000000012033f3f,589569262,186060956
